position,school,location,salary,urgent,status,description,qualifications,benefits,working_hours,start_date
English Teacher,Satit Bilingual School,Bangkok,35000 – 45000,yes,active,Teach English to K-12 students using modern teaching methods and curriculum. Work with Thai co-teachers in a supportive bilingual environment.,Bachelor's degree (any field);Native English speaker or equivalent;TEFL/TESOL certificate preferred;Passion for education,Visa sponsorship;Work permit assistance;Health insurance;Paid vacation (Thai holidays);Free lunch on campus;Professional development,Mon-Fri 8:00-16:00,Immediate
Mathematics Teacher,International Academy,Chiang Mai,32000 – 40000,no,active,Deliver engaging mathematics lessons for primary and secondary students. Prepare lesson plans and assessments aligned with international standards.,Bachelor's degree in Mathematics or Education;Teaching experience preferred;Strong communication skills,Visa sponsorship;Work permit assistance;Health insurance;Annual bonus;Housing allowance,Mon-Fri 7:30-15:30,May 2026
Science Teacher,Bangkok Christian College,Bangkok,38000 – 48000,yes,active,Teach integrated science and conduct lab sessions for secondary students. Develop hands-on experiments and STEM activities.,Bachelor's degree in Science or related field;Lab experience preferred;Creative teaching approach,Visa sponsorship;Work permit assistance;Health insurance;Paid vacation;Annual performance bonus;Flight allowance,Mon-Fri 8:00-16:00,Immediate
PE Teacher,Phuket International School,Phuket,30000 – 38000,no,active,Lead physical education classes and sports activities. Organize inter-school competitions and coach student teams.,Bachelor's degree in Physical Education or Sports Science;Coaching experience preferred;First aid certification a plus,Visa sponsorship;Work permit assistance;Health insurance;Gym membership;Sports equipment provided,Mon-Fri 7:30-15:30,August 2026
Art Teacher,Creative Academy,Bangkok,28000 – 35000,no,active,Inspire creativity through visual arts education. Teach drawing painting and digital art to various grade levels.,Bachelor's degree in Fine Arts or Art Education;Portfolio of work;Experience with children,Visa sponsorship;Work permit assistance;Health insurance;Art supplies provided;Exhibition opportunities,Mon-Fri 8:00-16:00,May 2026
Music Teacher,Harmony School,Pattaya,30000 – 38000,yes,active,Teach music theory and practical instruments. Direct school choir and organize music performances.,Bachelor's degree in Music or Music Education;Proficiency in multiple instruments;Performance experience,Visa sponsorship;Work permit assistance;Health insurance;Instrument provided;Concert tickets,Mon-Fri 8:00-16:00,Immediate
Computer Teacher,Tech Academy,Bangkok,35000 – 42000,no,active,Teach computer science and programming fundamentals. Guide students in coding projects and digital literacy.,Bachelor's degree in Computer Science or IT;Programming skills (Python/JavaScript);Patient teaching style,Visa sponsorship;Work permit assistance;Health insurance;Laptop provided;Tech conference attendance,Mon-Fri 8:00-16:00,May 2026
Chinese Teacher,Bilingual School,Chiang Rai,32000 – 40000,no,active,Teach Mandarin Chinese language and culture. Prepare students for HSK examinations.,Bachelor's degree;Native Mandarin speaker or HSK 6;Teaching certification preferred,Visa sponsorship;Work permit assistance;Health insurance;Housing support;Cultural exchange opportunities,Mon-Fri 7:30-15:30,August 2026
Physics Teacher,Science Academy,Bangkok,36000 – 44000,yes,active,Teach physics with hands-on experiments and real-world applications. Prepare students for university entrance exams.,Bachelor's degree in Physics or Engineering;Lab experience;Exam preparation experience,Visa sponsorship;Work permit assistance;Health insurance;Research opportunities;Annual bonus,Mon-Fri 8:00-16:00,Immediate
French Teacher,Language Center,Pattaya,33000 – 41000,no,active,Teach French language from beginner to advanced levels. Prepare students for DELF/DALF examinations.,Bachelor's degree;Native French speaker or C2 level;DELF examiner certification a plus,Visa sponsorship;Work permit assistance;Health insurance;Cultural events;Language exchange programs,Mon-Fri 8:30-16:30,May 2026
